file_name,date,species,replicate,sample_type,mass
Aster1_ambient_ALP.qgd,08/09/2022,Heliomeris_multiflora,1,ambient,0
Aster1_floral_ALP.qgd,08/09/2022,Heliomeris_multiflora,1,floral,0.686
Aster2_floral_AFM.qgd,08/09/2022,Heliomeris_multiflora,2,floral,0.686
Aster3_floral_AFM.qgd,08/11/2022,Heliomeris_multiflora,3,floral,0.69
Lupine1_ambient_AFM.qgd,08/11/2022,Lupinus_argenteus,4,ambient,0
Lupine1_floral_AFM.qgd,08/11/2022,Lupinus_argenteus,4,floral,1.025
Lupine2_ambient_ALP.qgd,08/11/2022,Lupinus_argenteus,5,ambient,0
Lupine2_floral_ALP.qgd,08/11/2022,Lupinus_argenteus,5,floral,0.558
Lupine3_ambient_ALP.qgd,08/11/2022,Lupinus_argenteus,6,ambient,0
Lupine3_floral_ALP.qgd,08/11/2022,Lupinus_argenteus,6,floral,0.919
